search_term,endpoint_type,rank,doc_id,part_number,sku_name,score
chicken free dry dog food,lexical,1,227207,200580,"Merrick Real Beef + Sweet Potato Recipe Grain-Free Chicken-Free Adult Dry Dog Food, 22-lb bag",404.59186
chicken free dry dog food,lexical,2,177086,150277,"The Honest Kitchen Human Grade Grain-Free Chicken Whole Food Clusters Dry Dog Food, 20-lb bag",401.42688
chicken free dry dog food,lexical,3,177002,150190,"True Acre Foods Grain-Free Chicken & Vegetable Dry Dog Food, 40-lb bag",399.99408
chicken free dry dog food,lexical,4,229718,203098,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Lamb & Sweet Potato Recipe Dry Dog Food, 22-lb bag",399.31622
chicken free dry dog food,lexical,5,36657,51502,"Nature's Recipe Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 24-lb bag",384.3564
chicken free dry dog food,lexical,6,135809,108411,"American Journey Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",378.0046
chicken free dry dog food,lexical,7,34342,49161,"Wellness CORE Grain-Free Original Deboned Turkey, Turkey Meal & Chicken Meal Recipe Dry Dog Food, 26-lb bag",377.2965
chicken free dry dog food,lexical,8,298067,271646,"Nutrish Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 26-lb bag (Rachael Ray)",376.49643
chicken free dry dog food,lexical,9,229714,203094,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Salmon & Sweet Potato Recipe Dry Dog Food, 22-lb bag",374.43387
chicken free dry dog food,lexical,10,227204,200577,"Merrick Real Chicken + Sweet Potato Recipe Grain-Free Adult Dry Dog Food, 22-lb bag",373.1047
chicken free dry dog food,lexical,11,35934,50778,"Blue Buffalo Freedom Complete & Balanced Nutrition Adult Grain-Free Chicken & Potatoes Dry Dog Food, 24-lb bag",371.91367
chicken free dry dog food,lexical,12,253715,227196,"Merrick Backcountry Raw Infused Grain-Free Chicken-Free Pacific Catch Recipe Dry Dog Food, 20-lb bag",371.69498
chicken free dry dog food,lexical,13,32052,46872,"Blue Buffalo Wilderness Chicken Recipe Adult High-Protein Grain-Free Dry Dog Food, 24-lb bag",371.06274
chicken free dry dog food,lexical,14,264432,237939,"Natural Balance Limited Ingredient Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",370.68826
chicken free dry dog food,lexical,15,121768,94165,"Merrick Lil' Plates Grain-Free Chicken-Free Real Salmon + Sweet Potato Recipe Small Breed Dry Dog Food, 12-lb bag",370.45157
chicken free dry dog food,lexical,16,104014,76138,"Nature's Recipe Small Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 12-lb bag",367.91208
chicken free dry dog food,lexical,17,1597286,1597286,"Instinct Raw Boost Adult Grain-Free Real Chicken Recipe Dry Dog Food, 20-lb bag",366.48468
chicken free dry dog food,lexical,18,54102,69179,"Wellness CORE Grain-Free Large Breed Chicken & Turkey Recipe Natural Dry Dog Food, 26-lb bag",365.00818
chicken free dry dog food,lexical,19,2057278,2057278,"Stella & Chewy's Raw Coated Cage-Free Chicken Recipe Small Breed Grain-Free Dry Dog Food, 3.5-lb bag",361.10007
chicken free dry dog food,lexical,20,172733,145887,"Merrick Lil' Plates Grain-Free Chicken-Free Real Beef + Sweet Potato Recipe Small Breed Dry Dog Food, 20-lb bag",360.65887
chicken free dry dog food,lexical,21,34345,49164,"Wellness CORE Grain-Free Healthy Weight Turkey & Chicken Dry Dog Food, 26-lb bag",359.86392
chicken free dry dog food,lexical,22,103614,75733,"Blue Buffalo Freedom Senior Grain-Free Chicken & Potatoes Dry Dog Food, 24-lb bag",358.79773
chicken free dry dog food,lexical,23,318081,291727,"VICTOR Large Breed Gluten-Free Chicken & Fish Meal Elite Canine Dry Dog Food, 40-lb bag",358.32092
chicken free dry dog food,lexical,24,2056974,2056974,"Stella & Chewy's Raw Coated Cage-Free Chicken Recipe Grain-Free Dry Dog Food, 22-lb bag",356.92154
chicken free dry dog food,lexical,25,120944,93330,"Instinct Raw Boost Small Breed Adult Grain-Free Real Chicken Recipe Dry Dog Food, 10-lb bag",356.23538
chicken free dry dog food,lexical,26,172730,145884,"Merrick Lil' Plates Grain-Free Chicken-Free Real Beef, Sweet Potato + Peas with Raw Bites Recipe Small Breed Dry Dog Food, 10-lb bag",355.92728
chicken free dry dog food,lexical,27,264445,237952,"Natural Balance L.I.D. Limited Ingredient Diets Chicken & Sweet Potato Formula Small Breed Bites Grain-Free Dry Dog Food, 12-lb bag",355.52643
chicken free dry dog food,lexical,28,920806,920806,"Solid Gold Weight Control Gut Health Real Chicken & Sweet Potato Grain-Free Dry Dog Food, 22-lb bag",355.2185
chicken free dry dog food,lexical,29,142553,115294,"Tender & True Organic Grain-Free Chicken & Liver Recipe Dry Dog Food, 20-lb bag",354.8736
chicken free dry dog food,lexical,30,332474,306153,"American Natural Premium Legume-Free Chicken-Free Duck with Butternut Squash Dry Dog Food, 30-lb bag",354.5816
chicken free dry dog food,lexical,31,153766,126665,"Crave High Protein Chicken Adult Grain-Free Dry Dog Food, 22-lb bag",353.3336
chicken free dry dog food,lexical,32,35938,50782,"Blue Buffalo Freedom Small Breed Grain-Free Chicken & Potatoes Dry Dog Food, 11-lb bag",352.43295
chicken free dry dog food,lexical,33,103306,75418,"Wysong Epigen Starch-Free Chicken Formula Grain-Free Dry Dog & Cat Food, 5-lb bag",351.2434
chicken free dry dog food,lexical,34,281599,255137,"Tender & True Organic Chicken Recipe Small Breed Grain-Free Dry Dog Food, 4-lb bag",347.28094
chicken free dry dog food,lexical,35,172731,145885,"Merrick Lil' Plates Grain-Free Small Breed Dry Dog Food Real Chicken + Sweet Potato Recipe, 20-lb bag",346.73987
chicken free dry dog food,lexical,36,825950,825950,"Stella & Chewy's SuperBlends Raw Blend Wholesome Grains Cage-Free Chicken & Duck Recipe with Superfoods Dry Dog Food, 21-lb bag",345.5258
grain free dog food,lexical,1,279352,252887,"Portland Pet Food Company Pumpkin Biscuits Grain-Free & Gluten-Free Dog Treats, 5-oz bag",311.12814
grain free dog food,lexical,2,227207,200580,"Merrick Real Beef + Sweet Potato Recipe Grain-Free Chicken-Free Adult Dry Dog Food, 22-lb bag",307.91113
grain free dog food,lexical,3,181318,154549,"Taste of the Wild Pacific Stream Smoke-Flavored Salmon Grain-Free Dry Dog Food, 28-lb bag",305.74368
grain free dog food,lexical,4,181320,154551,"Taste of the Wild High Prairie Grain-Free Dry Dog Food, 28-lb bag",305.74368
grain free dog food,lexical,5,155620,128536,"Cesar Classic Loaf in Sauce Variety Pack Grain-Free Small Breed Adult Wet Dog Food Trays, 3.5-oz, case of 36",305.55792
grain free dog food,lexical,6,177094,150285,"The Honest Kitchen Human Grade Grain-Free Beef Whole Food Clusters Dry Dog Food, 20-lb bag",304.6067
grain free dog food,lexical,7,177086,150277,"The Honest Kitchen Human Grade Grain-Free Chicken Whole Food Clusters Dry Dog Food, 20-lb bag",304.5781
grain free dog food,lexical,8,177006,150194,"True Acre Foods Grain-Free Beef & Vegetable Dry Dog Food, 40-lb bag",303.8136
grain free dog food,lexical,9,264438,237945,"Natural Balance Limited Ingredient Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food, 24-lb bag",303.77625
grain free dog food,lexical,10,229718,203098,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Lamb & Sweet Potato Recipe Dry Dog Food, 22-lb bag",303.4886
grain free dog food,lexical,11,177002,150190,"True Acre Foods Grain-Free Chicken & Vegetable Dry Dog Food, 40-lb bag",303.20175
grain free dog food,lexical,12,133794,106358,"Gentle Giants Non-GMO Dog & Puppy Food Grain-Free Salmon Dry Dog Food, 18-lb bag",301.42462
grain free dog food,lexical,13,133946,106510,"ORIJEN Six Fish Grain-Free Poultry Free High-Protein Dry Dog Food, 23.5-lb bag",300.2186
grain free dog food,lexical,14,181322,154553,"Taste of the Wild Sierra Mountain Grain-Free Dry Dog Food, 28-lb bag",299.0861
grain free dog food,lexical,15,133949,106513,"ORIJEN Regional Red Grain-Free Poultry Free High-Protein Dry Dog Food, 23.5-lb bag",298.90427
grain free dog food,lexical,16,1040198,1040198,"Badlands Ranch Superfood Complete Grain-Free Beef Air-Dried Dog Food, 64-oz bag",296.93176
grain free dog food,lexical,17,121059,93449,"ACANA Free Run Poultry Grain-Free Dry Dog Food, 25-lb bag",296.78976
grain free dog food,lexical,18,128817,101296,"ORIJEN Original Grain-Free High-Protein Dry Dog Food, 23.5-lb bag",296.16583
grain free dog food,lexical,19,277888,251418,"Nulo FreeStyle Limited Ingredient Salmon Recipe High-Protein & Grain-Free Puppy & Adult Dry Dog Food, 24-lb bag",295.19476
grain free dog food,lexical,20,114269,86492,"Cesar Classic Loaf in Sauce Beef Recipe, Filet Mignon, Grilled Chicken & Porterhouse Steak Flavors Variety Pack Grain-Free Small Breed Adult Wet Dog Food Trays, 3.5-oz, case of 24",295.1353
grain free dog food,lexical,21,135821,108423,"American Journey Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food, 24-lb bag",294.90314
grain free dog food,lexical,22,121070,93460,"ACANA Red Meat Grain-Free Dry Dog Food, 25-lb bag",294.816
